族群,代號,名稱,產業,收盤,當日漲%,今日點火,量倍數,觸發日,波段起日,進場參考,出場線,已破線
AI PC/電競硬體,2465,麗臺,電腦及週邊設備業,95.5,9.9,是,4.4,08-10 08-12,2026-08-10,94.6,80.41,
AI PC/電競硬體,2377,微星,電腦及週邊設備業,169.0,9.7,是,3.1,08-12,2026-08-12,明日開盤,143.65,
AI PC/電競硬體,6206,飛捷,電腦及週邊設備業,146.0,2.1,,2.4,08-04 08-05 08-10,2026-08-04,142.5,121.12,
AI PC/電競硬體,2301,光寶科,電腦及週邊設備業,259.5,-3.4,,3.5,08-04,2026-08-04,260.0,221.0,
AI 伺服器/邊緣運算,7711,永擎,電腦及週邊設備業,447.5,10.0,是,4.3,08-10 08-12,2026-08-10,445.5,378.68,
AI 伺服器/邊緣運算,3605,宏致,電子零組件業,120.0,9.7,,2.5,08-05 08-06,2026-08-05,101.05,90.0,
AI 伺服器/邊緣運算,3017,奇鋐,電腦及週邊設備業,2910.0,5.4,,2.2,08-06,2026-08-06,2935.0,2494.75,
AI 伺服器/邊緣運算,6933,AMAX-KY,電腦及週邊設備業,194.0,3.2,,2.7,08-11,2026-08-11,189.5,161.07,
AI 伺服器/邊緣運算,2359,所羅門,其他電子業,143.0,1.8,,2.2,08-10,2026-08-10,150.0,127.5,
AI 伺服器/邊緣運算,8050,廣積,電腦及週邊設備業,58.8,-4.5,,4.0,08-07,2026-08-07,67.3,57.21,
電子通路/系統整合,6214,精誠,資訊服務業,142.5,-0.3,,5.5,07-31,2026-07-31,151.0,128.35,
電子通路/系統整合,3022,威強電,電腦及週邊設備業,105.5,-2.3,,2.6,08-05 08-10,2026-08-05,98.1,84.75,
電子通路/系統整合,8112,至上,電子通路業,96.9,-3.1,,4.6,08-11,2026-08-11,100.0,85.0,
自行車/運動休閒,9914,美利達,運動休閒,93.3,-1.1,,2.6,08-11,2026-08-11,94.6,80.41,
自行車/運動休閒,9921,巨大,運動休閒,109.0,-2.2,,2.7,08-10 08-11,2026-08-10,99.9,84.92,
自行車/運動休閒,1736,喬山,運動休閒,139.0,-4.1,,3.8,08-06,2026-08-06,140.5,119.42,
鋼鐵/金屬加工,2030,彰源,鋼鐵工業,21.55,1.9,,11.6,08-10,2026-08-10,21.4,18.19,
鋼鐵/金屬加工,2027,大成鋼,鋼鐵工業,46.85,0.9,,2.2,08-06,2026-08-06,45.95,39.06,
鋼鐵/金屬加工,2006,東和鋼鐵,鋼鐵工業,83.8,-2.0,,3.2,08-03 08-06,2026-08-03,78.8,66.98,
半導體 IP/設備,3653,健策,電子零組件業,4470.0,10.0,,2.2,08-05,2026-08-05,4295.0,3650.75,
半導體 IP/設備,6533,晶心科,半導體業,254.5,1.8,,3.1,08-07,2026-08-07,254.0,215.9,
紡織/成衣,9939,宏全,其他,134.0,-1.1,,3.2,08-06,2026-08-06,142.5,121.12,
紡織/成衣,1476,儒鴻,紡織纖維,324.5,-2.3,,2.7,07-30,2026-07-30,347.5,295.38,
生技醫療,8436,大江,生技醫療業,124.5,-1.2,,4.0,08-10,2026-08-10,122.5,104.12,
生技醫療,6547,高端疫苗,生技醫療業,50.6,-2.7,,4.3,08-05,2026-08-05,52.2,44.37,
其他,1608,華榮,電器電纜,37.95,4.1,是,3.9,08-12,2026-08-12,明日開盤,32.26,
其他,6538,倉和,電子零組件業,161.5,9.9,,3.5,08-05,2026-08-05,152.5,129.62,
其他,4566,時碩工業,電機機械,72.4,2.8,,3.5,08-07,2026-08-07,79.9,67.92,
其他,1904,正隆,造紙工業,25.15,2.7,,3.8,08-10,2026-08-10,24.2,20.57,
其他,6279,胡連,電子零組件業,130.5,0.0,,8.5,08-07,2026-08-07,127.5,108.38,
其他,2207,和泰車,汽車工業,504.0,-1.4,,4.2,07-30,2026-07-29,523.0,444.55,
其他,2397,友通,電腦及週邊設備業,66.7,-1.5,,3.5,08-07,2026-08-07,67.0,56.95,
其他,2031,新光鋼,鋼鐵工業,45.35,-1.6,,11.9,08-07,2026-08-07,45.7,38.85,
其他,2103,台橡,橡膠工業,27.35,-4.5,,5.0,08-10 08-11,2026-08-10,27.8,23.63,
其他,5904,寶雅*,居家生活,82.5,-5.3,,4.9,08-11,2026-07-29,72.0,65.32,
其他,3704,合勤控,通信網路業,42.6,-6.2,,2.4,08-10,2026-08-10,47.2,40.12,
其他,7740,熙特爾-創,綠能環保,148.0,-7.2,,4.2,08-10,2026-08-10,166.0,141.1,
其他,2425,承啟,電腦及週邊設備業,41.9,-8.8,,2.5,08-04 08-07,2026-08-04,51.0,43.35,出場
