代號,名稱,市場,產業,收盤,距季線%,距年線%,月高,回檔深度%,6月YoY%,6月MoM%,7月YoY%,7月MoM%
3022,威強電,上市,電腦及週邊設備業,95.9,9.7,36.4,112.27,22.4,79.97,8.33,73.91,4.88
6805,富世達,上市,電子零組件業,2200.0,31.0,38.4,2435.0,16.6,32.66,2.19,17.06,12.74
3167,大量,上市,電機機械,803.0,9.5,75.1,839.0,14.3,139.66,8.94,152.87,10.17
7788,松川精密,上市,電子零組件業,335.0,32.4,90.1,347.0,14.3,65.65,13.35,99.38,19.09
6672,騰輝電子-KY,上市,電子零組件業,289.0,11.7,85.9,295.0,13.6,68.12,8.12,90.82,16.01
6617,共信-KY,上櫃,生技醫療業,123.0,30.4,47.0,129.5,12.7,70.0,1.78,63.52,1.82
6173,信昌電,上櫃,電子零組件業,260.5,12.3,116.6,270.5,12.2,29.08,9.9,47.86,6.61
2421,建準,上市,電子零組件業,178.0,23.2,23.5,184.0,11.4,18.65,9.63,31.65,14.24
2351,順德,上市,半導體業,239.5,26.9,90.1,247.0,10.5,51.71,4.97,54.0,9.41
3374,精材,上櫃,半導體業,430.0,31.9,105.9,431.0,8.8,61.0,9.63,30.96,12.68
3653,健策,上市,電子零組件業,5875.0,42.6,75.6,6095.0,8.3,57.64,14.54,90.95,21.25
