code,yoy,mom
1101,-0.05,3.26
1102,-1.15,10.57
1103,-7.5,11.01
1104,1.97,3.12
1108,-13.76,3.78
1109,-14.51,2.34
1110,-10.64,-1.64
1201,-5.08,1.77
1203,-10.04,-1.14
1210,10.16,-0.35
1213,14.29,-10.1
1215,1.65,7.42
1216,2.69,2.95
1217,-14.6,-5.12
1218,-1.42,-2.76
1219,-6.85,-8.73
1220,-12.6,-19.89
1225,2.26,-7.13
1227,5.44,18.15
1229,-8.84,30.12
1231,-3.14,-2.14
1232,9.9,-3.09
1233,-3.79,9.03
1234,-22.71,1.27
1235,-37.97,-46.42
1236,-4.28,-12.21
1702,-1.31,-4.04
1737,-21.14,-5.29
3054,786.01,-32.36
7780,29.15,17.95
7791,-10.97,3.84
1301,0.66,-18.41
1303,31.35,4.15
1304,-1.42,-15.68
1305,20.69,-18.39
1307,9.14,-10.68
1308,10.42,1.86
1309,-20.61,-22.84
1310,-38.61,-42.01
1312,5.81,-36.0
1313,4.71,-8.63
1314,-23.82,-17.1
1315,3.43,77.66
1321,13.39,2.8
1323,4.33,-2.77
1324,4.1,8.51
1325,-31.19,-17.97
1326,15.45,-14.68
4306,40.04,8.93
1402,19.43,2.35
1409,35.13,7.22
1410,37.07,-10.95
1413,-16.45,-20.2
1414,11.12,-0.51
1417,-10.24,-3.17
1418,206.41,89.71
1419,2.14,-4.7
1423,17.9,46.86
1434,5.62,-3.35
1440,-13.43,8.88
1441,-1.27,-28.51
1444,81.02,72.04
1445,-12.2,132.0
1446,-1.83,23.12
1447,-45.56,-50.42
1449,98.71,-24.78
1451,-18.98,2.31
1452,14.96,-17.9
1454,7.83,1.54
1455,-4.87,-8.72
1457,-8.69,-15.61
1459,-3.47,-12.86
1460,-7.36,9.12
1463,0.8,-24.35
1464,4.57,-12.27
1465,18.68,-25.47
1466,4.59,2.49
1467,-11.55,-10.27
1468,-37.47,4.7
1470,-18.4,8.67
1473,-1.52,13.84
1474,4.68,-8.24
1475,5.81,0.3
1476,0.68,-6.27
1477,8.84,3.94
4414,15.0,3.07
4426,-8.28,-25.27
4438,-9.95,8.55
4440,-10.34,-30.83
4441,-35.23,-52.35
1503,8.35,-10.42
1504,10.55,1.04
1506,9.01,3.04
1513,3.61,3.65
1514,-30.82,-6.81
1515,8.14,29.8
1517,32.52,10.3
1519,-9.32,-34.32
1526,-10.43,4.78
1527,-13.53,-13.06
1528,-16.58,0.27
1529,158.34,236.09
1530,-43.01,-59.37
1531,-4.89,5.1
1532,26.03,10.88
1535,-45.63,-3.75
1537,8.8,0.36
1538,-65.38,-61.78
1539,-14.81,0.83
1540,-2.88,39.21
1541,-44.72,6.84
1558,-1.59,15.91
1560,17.78,-0.13
1583,-18.53,-49.68
1597,51.38,-10.62
2049,28.17,0.24
2371,-14.3,-13.44
3167,120.27,10.76
4526,49.95,42.69
4532,16.66,-12.84
4540,22.96,-4.42
4555,17.77,-1.15
4562,-47.97,-42.4
4564,-42.74,1.21
4566,9.95,-5.13
4572,21.85,45.95
4576,48.04,-1.94
4583,6.88,-16.61
4590,10.98,47.99
6606,37.22,-17.81
7750,88.25,-7.89
8222,-19.13,-20.76
8374,42.47,-8.42
8996,40.02,-33.42
1603,-5.96,-22.67
1604,-9.72,-4.44
1605,11.13,12.41
1608,7.83,7.47
1609,21.98,0.33
1611,-4.35,1.36
1612,-13.62,-1.68
1614,-19.33,-9.96
1615,14.84,-3.66
1616,-5.27,8.22
1617,37.88,-11.36
1618,153.16,233.39
1623,-32.72,-25.45
4930,4.71,14.27
5283,-2.46,-20.42
1708,18.38,-22.68
1709,5.38,19.4
1710,-28.89,-46.65
1711,9.41,-0.34
1712,11.42,-8.88
1713,12.17,14.41
1714,84.84,9.24
1717,14.87,-8.79
1718,9.13,-15.01
1721,5.21,-22.42
1722,-1.01,-21.27
1723,58.44,-12.94
1725,18.09,-26.41
1726,-4.2,-12.98
1727,39.07,21.8
1730,3.71,-0.39
1732,6.29,-0.91
1735,10.47,-23.36
1773,28.38,-1.16
1776,-2.21,-17.87
4720,15.21,-8.78
4722,-6.72,-22.8
4739,140.95,12.91
4755,-5.76,-3.79
4764,42.49,-7.21
4766,12.34,-3.52
4770,-26.07,-28.69
1707,-4.8,-2.32
1720,-5.01,-14.22
1731,13.14,3.0
1733,-18.08,-3.55
1734,10.33,3.2
1752,7.45,-5.07
1760,1.77,62.12
1762,-27.21,-44.7
1783,-4.43,20.13
1786,1.04,16.0
1789,-33.24,-31.28
1795,105.79,-24.67
3164,-3.25,-26.39
3705,-3.2,-5.17
3716,-4.41,-2.42
4104,-0.75,-11.25
4106,-9.52,-15.92
4108,18.45,21.65
4119,-47.12,-31.31
4133,0.52,2.69
4142,51.88,-70.21
4155,-2.95,9.45
4164,80.21,78.55
4169,-17.16,-3.34
4195,-28.24,8.15
4736,-15.03,-13.29
4737,-13.45,0.26
4746,-4.91,8.5
4771,33.13,-9.32
6446,108.47,19.1
6472,40.19,42.46
6491,36.7,6.2
6534,7.27,-38.31
6589,56.34,42.07
6645,40.12,55.32
6657,-24.12,-33.12
6782,22.78,19.81
6794,52.4,-24.76
6796,-7.05,-1.96
6838,-50.71,
6861,66.38,1.36
6885,-27.89,7.31
6918,27.18,-7.06
6919,,-100.0
6931,14.55,3.63
6934,-98.81,-99.51
6936,19.26,-4.63
6949,18.8,-9.42
6955,12.61,3.94
7799,-26.53,
7803,1440.63,1048.54
1802,17.71,-0.26
1806,-16.89,-7.98
1809,0.98,-11.55
1810,-6.69,5.24
1817,6.77,6.79
1903,-7.37,-8.55
1904,12.88,-2.8
1905,3.07,-0.0
1906,3.25,-8.48
1907,7.53,-4.26
1909,12.67,0.91
6790,-2.9,-7.36
2002,2.18,-3.03
2006,4.56,0.52
2007,-6.9,12.76
2008,-16.31,4.38
2009,12.54,-0.06
2010,0.72,-0.13
2012,-16.47,-5.23
2013,-6.06,-9.33
2014,4.26,-3.99
2015,-8.29,9.76
2017,-2.1,-7.04
2020,-10.15,-24.42
2022,24.16,-24.93
2023,-2.77,1.33
2024,11.19,-5.83
2025,562.37,18.39
2027,42.52,-5.95
2028,25.12,69.64
2029,-8.74,-9.67
2030,37.91,18.25
2031,24.8,-8.73
2032,28.67,-8.3
2033,-1.94,-9.64
2034,-9.19,5.87
2038,-18.3,-4.93
2069,10.65,6.83
2211,25.02,8.43
3004,56.16,11.86
5007,6.42,2.67
9958,28.97,-3.28
2101,158.74,4.5
2102,-20.42,24.88
2103,32.96,3.93
2104,-30.82,-31.63
2105,1.22,-9.48
2106,-2.2,-10.35
2107,6.6,1.35
2108,15.92,-17.2
2109,3.88,6.18
2114,7.23,0.54
6582,-34.63,45.1
1319,2.53,-8.03
1339,14.65,3.97
1512,-5.94,9.0
1521,23.04,-6.29
1522,39.56,-4.17
1524,18.84,-14.47
1525,29.38,11.23
1533,54.89,1.25
1536,12.16,-2.58
1563,18.73,6.69
1568,5.26,-14.28
1587,4.42,8.29
2201,-2.95,-1.77
